,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,explicit,popularity,clusters,id,artist,song_title
2923,0.443,0.879,-5.173,0.0371,0.00313,0.776,0.0794,0.0354,174.055,298510,0,21,7,68LOFCd4YNYjUcLdZkDOpD,"['Rezilient', 'Ben Rolo']",Come To Life
2924,0.483,0.8,-5.25,0.0411,0.00103,0.00271,0.452,0.329,173.863,238725,0,24,5,4hP4F3jdVRsS12lOqg7eIy,['CaitC'],Come Back For Me
2925,0.601,0.766,-5.339,0.044,0.000118,0.815,0.0394,0.076,174.006,276145,0,18,7,0rRZANgyvkYw2bZXmJRNNG,['Pe:Te'],Cutline
2926,0.572,0.834,-5.681,0.0958,0.000669,0.555,0.0975,0.222,173.051,369617,0,18,7,15Q0aIF01L3tSIUjuZHZ01,"['Bert H', 'Eastcolors', 'External Subway']",Gone - External Subway Remix
2927,0.443,0.929,-4.283,0.0692,0.0249,0.603,0.197,0.274,173.904,315213,0,29,7,27DIoetWArHa0Mc8iRZooT,"['Subsequent', 'Hiraeth', 'RIENK', 'Sektor']",All Depends
2928,0.606,0.804,-3.297,0.0979,0.083,0.0435,0.316,0.382,172.062,234419,0,24,9,1Esa4dOOZd1Lw7Xw9X93wn,['The Outsiders'],Be Here
2929,0.612,0.809,-6.821,0.0519,0.00107,0.915,0.104,0.04,174.036,298856,0,18,7,6hPRN6OU6xZPuXLjXpZ9p7,['Styke'],Oblivion
2930,0.562,0.987,-4.04,0.0682,0.0023,0.488,0.122,0.535,174.021,291311,0,26,7,7wrf1JQWCiBa1xWhH31zyL,['SiLi'],TRONCE
2931,0.541,0.896,-3.16,0.0409,0.000178,0.229,0.22,0.0399,173.98,300000,0,25,9,7ydFRaIGUYjbRxJtc2Ka14,"['SiLi', 'Sofia']",Playing In The Darkness
2932,0.606,0.663,-6.471,0.0346,0.00471,0.259,0.0779,0.093,173.966,269948,0,26,9,7Et0oPMaD6HXXTXmUjGvgV,['Variants'],Thousand Scars
2933,0.53,0.761,-4.155,0.0393,0.0134,0.388,0.0981,0.138,174.033,272505,0,24,7,6K23zHmV6CzBUS3Q4tLFGo,"['SiLi', 'Susan', 'Dustkey']",SOLAR
2934,0.508,0.927,-5.374,0.0626,0.00054,0.832,0.215,0.129,172.039,233215,0,24,7,4bwGqQAVx1OVYm9Vp9QjLx,"['NCT', 'Zombie Cats']",Touch Me
2935,0.521,0.904,-4.721,0.039,0.000183,0.883,0.106,0.431,176.006,255217,0,28,7,2FvJ4NBKxH45nXeVeKNGla,['Vandera'],Artemis
2936,0.368,0.909,-3.121,0.058,0.00455,0.00248,0.12,0.17,173.897,255086,0,42,9,5yq19i8dWxy09NaDkHw3dX,"['Andromedik', 'RIENK']",I See You
2937,0.537,0.879,-4.874,0.0424,0.00015,0.746,0.115,0.0496,174.028,314355,0,18,7,63swvEYx5sDzRgUKMsnlGB,"['Auris', 'Holdup', 'Scarlett Skinner']",A Road Too Far
