danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.517,0.692,1,-7.273,0,0.0246,0.253,0.0,0.172,0.476,107.958,audio_features,784WsZD4irVO0PA5NCZbTi,spotify:track:784WsZD4irVO0PA5NCZbTi,https://api.spotify.com/v1/tracks/784WsZD4irVO0PA5NCZbTi,https://api.spotify.com/v1/audio-analysis/784WsZD4irVO0PA5NCZbTi,193293,4
0.273,0.665,9,-8.795,1,0.0382,0.000458,0.000893,0.117,0.514,104.656,audio_features,7kw6yVmdZGuRcWGi4adXYT,spotify:track:7kw6yVmdZGuRcWGi4adXYT,https://api.spotify.com/v1/tracks/7kw6yVmdZGuRcWGi4adXYT,https://api.spotify.com/v1/audio-analysis/7kw6yVmdZGuRcWGi4adXYT,239027,4
0.78,0.787,0,-6.653,1,0.209,0.533,0.134,0.122,0.668,177.835,audio_features,13KEdaWIc7T6ozEmnJjHy1,spotify:track:13KEdaWIc7T6ozEmnJjHy1,https://api.spotify.com/v1/tracks/13KEdaWIc7T6ozEmnJjHy1,https://api.spotify.com/v1/audio-analysis/13KEdaWIc7T6ozEmnJjHy1,237067,4
0.654,0.523,9,-8.053,1,0.0349,0.8,0.0,0.285,0.851,126.819,audio_features,0AeYLiUH4QIEp7I8yrXyUo,spotify:track:0AeYLiUH4QIEp7I8yrXyUo,https://api.spotify.com/v1/tracks/0AeYLiUH4QIEp7I8yrXyUo,https://api.spotify.com/v1/audio-analysis/0AeYLiUH4QIEp7I8yrXyUo,136853,4
0.413,0.725,3,-5.787,0,0.0324,0.369,2.16e-05,0.0905,0.44,124.618,audio_features,5uvosCdMlFdTXhoazkTI5R,spotify:track:5uvosCdMlFdTXhoazkTI5R,https://api.spotify.com/v1/tracks/5uvosCdMlFdTXhoazkTI5R,https://api.spotify.com/v1/audio-analysis/5uvosCdMlFdTXhoazkTI5R,429760,4
0.639,0.659,5,-16.098,0,0.0491,0.0166,0.633,0.116,0.92,126.436,audio_features,2WzEWQN3dI5rQSYH1y4FLM,spotify:track:2WzEWQN3dI5rQSYH1y4FLM,https://api.spotify.com/v1/tracks/2WzEWQN3dI5rQSYH1y4FLM,https://api.spotify.com/v1/audio-analysis/2WzEWQN3dI5rQSYH1y4FLM,201735,4
0.523,0.769,4,-5.855,1,0.0269,0.04,0.0,0.136,0.876,136.162,audio_features,0WQiDwKJclirSYG9v5tayI,spotify:track:0WQiDwKJclirSYG9v5tayI,https://api.spotify.com/v1/tracks/0WQiDwKJclirSYG9v5tayI,https://api.spotify.com/v1/audio-analysis/0WQiDwKJclirSYG9v5tayI,244587,4
0.337,0.365,0,-15.091,1,0.0318,0.0788,3.84e-05,0.202,0.497,136.264,audio_features,3sb66av9ZpdI1JmPDHVa18,spotify:track:3sb66av9ZpdI1JmPDHVa18,https://api.spotify.com/v1/tracks/3sb66av9ZpdI1JmPDHVa18,https://api.spotify.com/v1/audio-analysis/3sb66av9ZpdI1JmPDHVa18,317027,4
0.632,0.232,9,-12.326,1,0.0318,0.428,4.95e-06,0.215,0.673,119.136,audio_features,7jmHyHMEqm9MJWiMAneF05,spotify:track:7jmHyHMEqm9MJWiMAneF05,https://api.spotify.com/v1/tracks/7jmHyHMEqm9MJWiMAneF05,https://api.spotify.com/v1/audio-analysis/7jmHyHMEqm9MJWiMAneF05,175493,4
0.456,0.47,2,-9.564,1,0.0294,0.513,3.76e-05,0.444,0.639,120.336,audio_features,2HCaIYjkvWSZzaSKUoOh3d,spotify:track:2HCaIYjkvWSZzaSKUoOh3d,https://api.spotify.com/v1/tracks/2HCaIYjkvWSZzaSKUoOh3d,https://api.spotify.com/v1/audio-analysis/2HCaIYjkvWSZzaSKUoOh3d,149467,4
