,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,explicit,popularity,clusters,id,artist,song_title
3276,0.488,0.546,-10.226,0.046,0.682,0.0,0.106,0.963,175.088,0,0,3,3U8u8fTxSyhigXkx3UdbYc,"['Dan Dakota', 'Andromedik']",Stood In The Dark - Andromedik Remix
3277,0.401,0.879,-7.011,0.0508,0.0418,0.0,0.187,0.212,131.901,0,0,1,2BIsxQDZthganbYVhTAxqC,"['Raise Spirit', 'Matrix & Futurebound']",The Temple - Matrix & Futurebound Remix
3278,0.507,0.716,-4.98,0.0311,0.0129,1.59e-05,0.324,0.302,140.056,0,0,1,1ksurN1ARNOy7Z0TwqItsx,"['Fox Stevenson', 'Maduk']",Take You Down - Maduk Remix
3279,0.64,0.82,-5.612,0.0287,0.0838,0.000496,0.0999,0.446,115.505,0,0,3,7L7XBOnAHFTPHAqa30Ah28,"['Blue Marble', 'Josh Roa', 'Fliwo']",Sanity - Fliwo Remix
3280,0.472,0.567,-7.251,0.0311,0.277,4.57e-05,0.0938,0.413,112.981,0,0,3,2d0YvlN6w2i06ZYGv5dsr9,"['Telomic', 'Laura Brehm', 'Keeno']",Home - Keeno Remix
3281,0.36,0.684,-6.457,0.0308,0.323,0.0,0.34,0.2,77.15,0,74,0,5iEe6bgBoroqqn1D5J8MmV,"['Ekko & Sidetrack', 'Reija Lee', 'ShockOne']",Long Summer - ShockOne Remix
3282,0.405,0.336,-12.455,0.0434,0.986,0.301,0.237,0.639,90.982,0,5,8,4w5KCU6ktSQTZJtDbOFj9C,"['Edlan', 'Ella Noël', 'Dualistic']",Dreamcatcher - Dualistic Remix
3283,0.865,0.556,-13.372,0.0555,0.0137,0.0145,0.07,0.887,118.946,0,0,3,0jhj7HMgr1xYYhMaweKISA,"['Whiney', 'GLXY']",Don't Wait For Me - GLXY Remix
3284,0.186,0.17,-20.046,0.0355,0.919,0.921,0.102,0.0394,101.006,0,0,6,3FA9g1rabwenvZiYmKSnOd,"['Cartoon', 'Kristel Aaslaid', 'Champion']",Made Me Feel - Champion Remix
3285,0.605,0.663,-10.634,0.058,0.799,0.0266,0.271,0.787,144.136,0,0,3,17SFVG5gLkNDmjli5EItAD,"['Raise Spirit', 'Polygon']",Don't Let Go - Polygon Remix
3286,0.405,0.122,-15.603,0.0317,0.835,0.00116,0.342,0.19,128.443,0,0,8,0BzvfNEFY9D7ruOLLx4XHh,"['Dan Dakota', 'Ekko & Sidetrack']",We Let Em Go - Ekko & Sidetrack Remix
3287,0.725,0.686,-8.796,0.0316,0.0904,0.449,0.0818,0.661,128.018,0,0,3,0FNGkQW3sWuOioQH8nUIos,"['Rameses B', 'L Plus']",Open Your Eyes - L Plus Remix
3288,0.655,0.514,-13.757,0.0359,0.0277,2.72e-05,0.133,0.699,122.668,0,0,3,0rD1A6bSR0tCITclB3bmxw,['Polygon'],Feel This Good
3289,0.344,0.497,-9.295,0.0366,0.0167,0.453,0.108,0.356,127.707,0,57,1,7eIHyaqwKZxbL5MmBDvGeh,['Polygon'],Contradiction
3290,0.904,0.813,-7.105,0.121,0.0311,0.00697,0.0471,0.81,125.461,1,68,7,56dT0YGhoIOcHXlLkCIrjH,"['Polygon', 'Lois Lauri']",High
3291,0.88,0.942,-10.716,0.0901,0.047,0.0101,0.297,0.799,129.9,0,37,0,3z7Falo7M5BktVTViBaHbd,"['Polygon', 'Dirkje Cil']",Unspoken
3292,0.724,0.626,-8.904,0.0964,0.0808,0.602,0.095,0.634,159.994,0,0,2,7kRCnkK3efum0hjYHjP988,"['Hiraeth', 'Low:r']",Seasons Change
3293,0.843,0.577,-11.383,0.0917,0.0382,0.137,0.115,0.586,115.162,0,0,3,09BvPaEs18lxHuY5VBJFgk,"['Hiraeth', 'Low:r']",Stay
3294,0.693,0.427,-13.876,0.285,0.0461,0.0,0.0936,0.91,146.353,0,0,4,1jBcJCBOn8sHBTw2Qk9Jsk,"['NCT', 'Skyelle']",Astrophysical
3295,0.545,0.661,-7.249,0.0479,0.822,0.0,0.273,0.818,97.74,0,1,3,4ruVlyPVVwzH1z5E72A4Ry,"['Andromedik', 'Ayah Marar']",First To Go
3296,0.338,0.312,-16.141,0.0453,0.528,0.000113,0.0741,0.306,205.332,0,0,8,10UywSzkb1AeCDme3V6jlF,"['Dustkey', 'Sektor', 'Hiraeth', 'Subsequent']",Hidden Love - Hiraeth x Sektor & Subsequent Remix
3297,0.48,0.403,-14.148,0.0277,0.778,0.0181,0.109,0.467,89.068,0,0,8,1guNLMka9sgMfhmMUCQJb4,['Nelver'],Heatwave
3298,0.527,0.397,-6.656,0.0353,0.848,0.022,0.117,0.266,92.527,0,0,8,5dFbZDu5NojxLxtWy5I0e0,"['Maduk', 'Calixte']",Everytime
3299,0.609,0.476,-11.014,0.0559,0.376,0.0,0.146,0.686,120.519,0,0,3,6KZXPTx6yXw6uQQ0d4fcvI,"['Invermere', 'Veela']",Come Fly Away
3300,0.965,0.414,-6.408,0.0713,0.189,0.0,0.0767,0.728,121.032,0,67,0,6Ra5C1KmKpqk5D062PUwby,['Nelver'],Imagination
3301,0.641,0.648,-13.379,0.0298,0.00152,0.87,0.0645,0.965,125.368,0,52,2,2dr84zjs4ScVjDozSl4592,['Nelver'],What It Is
3302,0.53,0.829,-7.014,0.0361,0.0537,0.88,0.106,0.949,134.99,0,43,2,5luxB5hJth3zXLNNHl2KJZ,['Smote'],Summertime - VIP
3303,0.686,0.623,-11.123,0.0327,0.0735,2.1e-06,0.0706,0.66,112.211,0,45,0,6nGWgxbKjV0vZThq18tDtA,"['The Outsiders', 'Pyvot']",All Night Long
3304,0.468,0.955,-4.909,0.0857,0.00197,0.0,0.284,0.571,169.928,0,0,1,0udIZ5gNmUHGrzaadmP4Wm,['Fox Stevenson'],Dreamland
3305,0.278,0.284,-15.634,0.0493,0.804,0.0,0.162,0.197,95.122,0,0,8,55fdZfU7PwSSYSGbU6UVke,"['The Outsiders', 'Pyvot']",To Belong
3306,0.394,0.888,-7.105,0.053,0.0602,0.00161,0.404,0.677,145.896,0,0,5,3QLT1k8X0xFd29dz2X6r3A,['Boxplot'],Voicemail Poems
3307,0.59,0.737,-5.867,0.0384,0.404,0.0,0.108,0.877,132.966,0,0,3,0wPLbWKw3pyzaLf1i9yq1X,"['The Outsiders', 'Ida']",Burning
3308,0.727,0.604,-10.787,0.0497,0.407,0.574,0.0441,0.956,162.287,0,15,3,3F7fvCqnP7DyPIxYvGycb8,"['Boxplot', 'Ownglow']",Polaroids Of You
3309,0.496,0.647,-9.852,0.0432,0.772,0.0435,0.112,0.303,111.336,0,0,8,1Pn8GToNNzAUyswBmWkBGf,"['Boxplot', 'Voicians']",We Lose It All (ft. Voicians)
3310,0.521,0.0966,-18.33,0.0353,0.991,0.913,0.0928,0.186,103.765,0,2,6,0FFZeHdXWLzdlTjqQ8VcB5,['Boxplot'],Cult Of A Broken Man
3311,0.435,0.428,-11.747,0.0268,0.171,0.000708,0.149,0.61,95.534,0,56,0,3dYB2nRtxxLobsgWUcXOyJ,['Low5'],Left Here In The Shadow
3312,0.641,0.402,-13.032,0.039,0.437,0.0,0.126,0.908,84.376,0,14,3,1Fwob4jT9kS79WdCn4pASS,['Andromedik'],I Want You
3313,0.677,0.671,-4.905,0.0361,0.004,5.07e-05,0.413,0.527,137.046,0,0,5,00YpEQ74CxEjYzC8g5IldQ,"['Andromedik', 'Voicians']",Won't Let Go
3314,0.682,0.653,-6.062,0.339,0.13,0.00116,0.129,0.428,188.115,1,64,7,5SHVGJ1lIMGRNPCbZLdFGw,['Maduk'],Still In Love
3315,0.367,0.65,-4.848,0.0461,0.631,0.0,0.113,0.78,175.137,0,22,1,73WKUbd16PxQJJFJ2WSeLb,['Silence Groove'],Moon That Never Sets
3316,0.707,0.854,-8.231,0.0286,0.149,0.117,0.0987,0.96,114.022,0,49,0,2MIXE7VHGkicxlCDNuWC0H,"['Flite', 'Justin Hawkes', 'Karina Ramage']",Calm Before The Storm
3317,0.312,0.453,-7.125,0.0312,0.713,5.3e-05,0.0803,0.673,137.205,0,46,8,5sBogbf38h8JatEmM0HGP7,['Voicians'],Disconnected
3318,0.53,0.647,-10.359,0.041,0.763,0.000203,0.11,0.968,168.445,0,0,3,5ZPnrdEPT1Y2ttQdV44xAd,['Itro'],Let You Go
3319,0.436,0.543,-13.351,0.0962,0.654,9.35e-06,0.0937,0.663,148.282,0,0,8,0X9JtSp7JDTfFE65lCbIxX,"['Flite', 'Justin Hawkes']",Decisions
3320,0.602,0.819,-10.446,0.0438,0.0976,0.00114,0.103,0.614,130.642,0,48,0,3Q2R9j6xZfPOxre6vvFurZ,"['Flite', 'Justin Hawkes']",Skywalker
