,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
122,0.285,0.933,-4.114,0.0619,0.0221,0.196,0.0931,0.13,174.261,3grPCX8345CZKUJFSpleMM,293839
123,0.356,0.883,-2.46,0.0484,0.000477,0.822,0.818,0.037,174.006,2WQUfvIu4nd9jHIMfTOrgK,405603
124,0.592,0.883,-4.479,0.0572,8.3e-05,0.863,0.0946,0.0362,172.03,6l5K015UvtXS170aLQvPtP,298805
125,0.529,0.882,-3.316,0.0465,0.00222,0.335,0.0624,0.15,174.025,5fLSYrdWMnBp0ztt69B6Wz,273454
126,0.479,0.817,-4.458,0.0433,0.000169,0.866,0.188,0.14,169.922,4okvBlCPbFCn7NUSooQhnG,331589
127,0.479,0.786,-3.83,0.0374,0.0108,0.878,0.188,0.133,173.973,0OvqEg2t8UGDmYC4pQE9UR,171049
128,0.442,0.919,-3.024,0.0341,0.00132,0.445,0.22,0.228,175.019,5x0lyR3dEnkEpoNDHZRbbD,246067
129,0.681,0.847,-7.79,0.0674,0.0217,0.844,0.0774,0.298,173.979,0bBi8ISjfHxo1x7vvcnAnU,287414
130,0.322,0.907,-3.404,0.0344,9.89e-05,0.438,0.0566,0.162,86.905,4sMFXuFcZAqxMbze9JPqjU,294823
131,0.412,0.869,-1.557,0.0463,0.00343,0.227,0.111,0.0604,174.017,6sp6sZ3agNkxCwdK7zsdFy,303448
132,0.585,0.455,-6.765,0.0621,0.0337,0.579,0.0889,0.197,174.01,1NnaoYJ93fCyD7FqPpuEEU,270545
133,0.688,0.744,-6.201,0.104,0.000304,0.802,0.0988,0.573,174.032,4C6ABFK7mZmYtEuLSFhvaj,270552
134,0.448,0.917,-2.938,0.0797,0.00183,6.13e-06,0.294,0.603,172.1,3SS1QAGaY6x1vLknhyUfnk,180699
135,0.557,0.907,-4.228,0.065,0.000691,0.907,0.118,0.0394,174.052,1HLhA7shiBKCWBz5eX9KuX,298149
136,0.492,0.833,-5.274,0.0471,0.000123,0.814,0.105,0.0377,174.016,0Oo4yjgDzgFxLcx7LA7zeZ,342298
137,0.459,0.877,-4.673,0.0401,0.00441,0.641,0.321,0.0386,171.976,62w8AH6U6kFCH6moBDXrV1,291274
138,0.619,0.813,-6.005,0.0732,0.0018,0.183,0.287,0.132,174.001,7Kg229UfLiV9m08gBPfNZe,272817
139,0.579,0.693,-3.146,0.0781,0.00279,0.892,0.274,0.0835,174.026,6JJGxeTiJNPgPY22Ds6QcR,257470
