,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
139,0.716,0.238,-12.995,0.0508,0.824,5.9e-06,0.19,0.43,90.456,4dzCUa5VYZN8BrxubFAACh,186880
140,0.737,0.316,-8.844,0.05,0.89,0.0,0.346,0.853,121.21,16dIEMqoXx1r0HYJE1S7hn,188333
141,0.118,0.144,-17.826,0.0396,0.93,0.818,0.103,0.0386,74.492,3nmnrPMEa0kK976WCgfuHy,161000
142,0.629,0.201,-18.867,0.101,0.972,0.208,0.105,0.28,160.068,0g34BT0ZXCBhrrnDs6z6J9,165000
143,0.338,0.0203,-29.139,0.0408,0.995,0.91,0.101,0.281,165.399,3kLpNQhKQsD5bgjOdi7nWH,137760
144,0.759,0.699,-5.745,0.0307,0.202,0.000131,0.443,0.907,92.96,3MjUtNVVq3C8Fn0MP3zhXa,211067
145,0.336,0.264,-9.978,0.0387,0.707,0.000148,0.109,0.054,85.283,0H57fkQllbxGC2qHgIgHBt,180573
146,0.427,0.441,-7.956,0.0292,0.691,0.0231,0.521,0.361,80.662,7tPChxTDQUqAGcYN8QduMH,579107
147,0.715,0.348,-15.563,0.916,0.715,0.0,0.24,0.732,123.75,6F78QxQCBHCRijywZkxOwJ,110907
148,0.569,0.639,-8.938,0.793,0.676,0.0,0.936,0.49,79.648,21E3nu2GFrNaXQ506aGMpc,204917
149,0.707,0.815,-6.2,0.147,0.00499,0.828,0.0874,0.148,133.024,7K3OyIuvYF1qcwr4xqILeu,206626
150,0.798,0.74,-4.865,0.0458,0.0419,1.84e-06,0.157,0.834,128.054,1cSXzDZt8vzuUp2XREQEJN,219720
151,0.478,0.853,-5.865,0.0376,0.00391,0.0,0.0645,0.352,147.235,748pbjnFM9TVwQhDT3LC4N,280853
152,0.642,0.619,-10.427,0.0418,0.189,0.16,0.349,0.431,159.922,4MhaF08X17tmOmUcmRq5lN,191800
153,0.419,0.874,-5.6,0.0346,0.00144,5.05e-05,0.145,0.62,79.506,3ptJBraFGtaeprD4BHmTfV,197680
154,0.81,0.737,-5.659,0.0341,0.0867,0.0,0.0982,0.736,132.99,6vJ4egoPoiPKUyohVOfVHC,169680
155,0.786,0.907,-5.672,0.0451,0.0936,0.00133,0.268,0.896,93.698,0o8eQLFcietIkRBK0GflGZ,239947
156,0.484,0.911,-4.645,0.0494,0.022,8.03e-06,0.193,0.947,184.882,4hYinIaRxdaoEFSQni6K6I,236200
157,0.541,0.785,-8.38,0.0307,0.0731,4.44e-06,0.0745,0.895,177.044,4P9dqMYFWpGF9ozj59s4ML,220840
158,0.687,0.693,-4.856,0.0569,0.0124,5.44e-05,0.108,0.442,128.03,5mWceciQV51RPCBQCLAm3U,205653
159,0.687,0.847,-7.273,0.0326,0.0207,1.89e-06,0.126,0.764,152.892,030RDC2ayPOUM32F9IH7eE,243800
160,0.63,0.764,-4.374,0.0241,0.0539,6.8e-05,0.108,0.226,107.996,3hT1h7FiFFxoLqiTMJM7Ew,226307
161,0.593,0.858,-4.68,0.03,0.048,2.3e-05,0.0965,0.386,111.988,3ijQ8r5MEovCZ1LqQhUjsI,223453
162,0.523,0.581,-6.127,0.0251,0.0162,0.000276,0.0717,0.242,99.962,7dblY1Epg03mXh2bJ9F44Z,192573
163,0.693,0.78,-5.542,0.0989,0.182,0.0,0.101,0.762,96.036,6nE5RgNaFN5E5bpXeH2z9M,185053
164,0.621,0.923,-3.124,0.0321,0.00645,7.28e-05,0.108,0.716,127.973,4LiJE6pqgsTX3FtukW6bNh,256213
165,0.804,0.816,-5.218,0.0796,0.0288,0.0,0.0999,0.625,99.991,0W0ooKnuOJHSqp8zZRje7I,214360
166,0.679,0.776,-7.368,0.0425,0.0822,0.00379,0.288,0.0985,103.972,23t7gG7rKSddYrU3zaMv0S,294893
167,0.596,0.753,-9.655,0.123,0.406,0.0,0.406,0.609,89.911,0TMPECnOfA2NZ03dVAdHik,207680
168,0.617,0.728,-7.932,0.0292,0.0328,0.0482,0.36,0.808,139.066,4xGuK7FsXuZwHCCuNnPzbD,238760
169,0.629,0.568,-4.231,0.0335,0.162,4.88e-06,0.162,0.393,95.077,58zHoX9U5VlSXLUUmWTfe2,197987
170,0.549,0.809,-7.668,0.0307,0.0245,0.0,0.13,0.81,112.02,21aT5lIYHjyBIFrXNbNY5U,261933
171,0.749,0.886,-4.887,0.122,0.0442,6.02e-05,0.118,0.479,99.523,0llxnKwB2eKrVEUxBWuHgR,354133
172,0.728,0.652,-9.177,0.0245,0.244,1.59e-06,0.125,0.718,98.706,0DUtmZD5TK6JwChuMql5ac,228293
173,0.747,0.706,-4.653,0.0413,0.0844,0.00355,0.174,0.567,94.019,16MJqq0vEuW6GRX6faetTm,185013
174,0.794,0.832,-4.862,0.0407,0.237,1.14e-05,0.203,0.871,107.657,2lnzGkdtDj5mtlcOW2yRtG,196160
175,0.489,0.78,-4.359,0.0559,0.0138,6.25e-06,0.0632,0.862,199.984,6vugYRjEYHJ3nsGP5kScpf,213160
176,0.624,0.842,-5.285,0.0376,0.264,2.11e-05,0.181,0.257,111.037,1z3ugFmUKoCzGsI6jdY4Ci,342680
177,0.891,0.7,-6.289,0.0935,0.0316,0.0,0.0901,0.747,127.942,15hHGF66ZlM6UAzMSpf5Q1,214853
178,0.69,0.618,-9.36,0.0904,0.0175,3.26e-06,0.0891,0.733,174.038,4stm6lf1vQBSl7Eq4Npzr0,240893
179,0.461,0.291,-9.749,0.031,0.868,0.0102,0.0785,0.23,139.543,1OkNX7XwRwzfWE7Oqp8Rri,233720
180,0.578,0.581,-6.867,0.0318,0.0658,0.0042,0.0674,0.408,83.293,3qzcM6SmbzBnGXSJe6hYdy,195507
181,0.658,0.817,-8.921,0.0315,0.0936,0.000151,0.333,0.81,118.959,0zaP22tOgK5voZkTivyPe6,236827
182,0.624,0.835,-5.821,0.0323,0.0272,0.0,0.121,0.601,126.559,1SqipU2h7pOMZd4ynckn6k,257839
183,0.793,0.688,-4.216,0.0328,0.079,0.0604,0.145,0.221,120.058,1Y11Qo4PbUIuzXEWQX9DBF,242773
184,0.419,0.676,-4.988,0.0414,0.00478,0.0,0.119,0.425,182.155,7JxmTKWt4zsXh4pgiOpdgA,187840
185,0.599,0.732,-6.843,0.026,0.0145,0.000467,0.143,0.295,97.997,2Ms33RTRCT6gArrpcrPxmo,263867
186,0.82,0.937,-4.81,0.0551,0.135,0.000128,0.35,0.906,130.993,3Ev29Sj0ca0TD11oE8N0Bc,239400
187,0.783,0.649,-4.127,0.0322,0.0209,0.00482,0.067,0.665,103.997,1QhSB9L9M5eZQhW4RNOhXK,206093
188,0.649,0.831,-4.677,0.0458,0.0107,8.14e-06,0.0979,0.961,91.988,5YVAa5A1w987AIeCn6I0UI,215733
189,0.278,0.252,-9.488,0.0407,0.927,0.000237,0.122,0.167,71.034,7py0pONdy9D0DxNnT3elik,256333
190,0.671,0.373,-18.064,0.0323,0.257,8.01e-05,0.0481,0.732,92.718,2374M0fQpWi3dLnB54qaLX,295893
191,0.766,0.873,-6.381,0.143,0.00627,0.0,0.0764,0.743,126.988,2Cd9iWfcOpGDHLz6tVA3G4,202627
